epoch,epoch_time,compilation_time,run_name,framework,model_name,image_size,batch_size,trial_num
3,356.2464668750763,191.1225,inceptionresnetv2_size299_batch16_trial_0,keras,inceptionresnetv2,299,16,0
4,356.83570408821106,191.1225,inceptionresnetv2_size299_batch16_trial_0,keras,inceptionresnetv2,299,16,0
0,252.00382399559018,101.91408,inceptionv3_size299_batch32_trial_0,keras,inceptionv3,299,32,0
1,136.3782069683075,101.91408,inceptionv3_size299_batch32_trial_0,keras,inceptionv3,299,32,0
2,136.51060128211978,101.91408,inceptionv3_size299_batch32_trial_0,keras,inceptionv3,299,32,0
3,136.87527108192444,101.91408,inceptionv3_size299_batch32_trial_0,keras,inceptionv3,299,32,0
4,137.20930910110474,101.91408,inceptionv3_size299_batch32_trial_0,keras,inceptionv3,299,32,0
0,272.8497929573059,126.8483,inceptionv3_size299_batch32_trial_1,keras,inceptionv3,299,32,1
1,137.49024987220764,126.8483,inceptionv3_size299_batch32_trial_1,keras,inceptionv3,299,32,1
2,137.99469447135922,126.8483,inceptionv3_size299_batch32_trial_1,keras,inceptionv3,299,32,1
3,138.23861145973206,126.8483,inceptionv3_size299_batch32_trial_1,keras,inceptionv3,299,32,1
4,138.46905732154846,126.8483,inceptionv3_size299_batch32_trial_1,keras,inceptionv3,299,32,1
0,315.2852945327759,152.30931999999999,inceptionv3_size299_batch32_trial_2,keras,inceptionv3,299,32,2
1,136.10369277000427,152.30931999999999,inceptionv3_size299_batch32_trial_2,keras,inceptionv3,299,32,2
2,136.7809829711914,152.30931999999999,inceptionv3_size299_batch32_trial_2,keras,inceptionv3,299,32,2
3,137.06647729873654,152.30931999999999,inceptionv3_size299_batch32_trial_2,keras,inceptionv3,299,32,2
4,137.12456488609314,152.30931999999999,inceptionv3_size299_batch32_trial_2,keras,inceptionv3,299,32,2
0,338.760094165802,2.7318599999999997,inceptionresnetv2_size299_batch12_trial_0,pytorch,inceptionresnetv2,299,12,0
1,342.6553061008453,2.7318599999999997,inceptionresnetv2_size299_batch12_trial_0,pytorch,inceptionresnetv2,299,12,0
2,343.83744406700134,2.7318599999999997,inceptionresnetv2_size299_batch12_trial_0,pytorch,inceptionresnetv2,299,12,0
3,344.53744077682495,2.7318599999999997,inceptionresnetv2_size299_batch12_trial_0,pytorch,inceptionresnetv2,299,12,0
4,343.0567502975464,2.7318599999999997,inceptionresnetv2_size299_batch12_trial_0,pytorch,inceptionresnetv2,299,12,0
0,343.28097915649414,0.5544399999999999,inceptionresnetv2_size299_batch12_trial_1,pytorch,inceptionresnetv2,299,12,1
1,343.60233998298645,0.5544399999999999,inceptionresnetv2_size299_batch12_trial_1,pytorch,inceptionresnetv2,299,12,1
2,343.46582269668585,0.5544399999999999,inceptionresnetv2_size299_batch12_trial_1,pytorch,inceptionresnetv2,299,12,1
3,343.7879571914673,0.5544399999999999,inceptionresnetv2_size299_batch12_trial_1,pytorch,inceptionresnetv2,299,12,1
4,343.51957416534424,0.5544399999999999,inceptionresnetv2_size299_batch12_trial_1,pytorch,inceptionresnetv2,299,12,1
0,343.51378726959234,0.56198,inceptionresnetv2_size299_batch12_trial_2,pytorch,inceptionresnetv2,299,12,2
1,343.7602953910828,0.56198,inceptionresnetv2_size299_batch12_trial_2,pytorch,inceptionresnetv2,299,12,2
